Adularia,KAlSi3O8
Ulexite,NaCa[B5O6(OH)6] · 5H2O
Ullmannite,NiSbS
Ulrichite,CaCu(UO2)(PO4)2 · 4H2O
Ulvöspinel,TiFe2O4
Umangite,Cu3Se2
Umbite,K2(ZrTi)Si3O9 · H2O
Umbozerite,Na3Sr4Th[Si(OOH)3-4]8
Umohoite,(UO2)MoO4 · 2H2O
Mangano-mangani-ungarettiite,NaNa2(Mn2+2Mn3+3)(Si8O22)O2
Ungemachite,K3Na8Fe(SO4)6(NO3)2 · 6H2O
Upalite,Al(UO2)3(PO4)2O(OH) · 7H2O
Uralborite,Ca2[B3O3(OH)5 · OB(OH)3]
Uralite,AX2Z5((SiAlTi)8O22)(OHFClO)2
Uralolite,Ca2Be4(PO4)3(OH)3 · 5H2O
Uramphite,(NH4)2(UO2)2(PO4)2 · 6H2O
Urancalcarite,Ca(UO2)3(CO3)(OH)6 · 3H2O
Uraninite,UO2
Uranocircite,Ba(UO2)2(PO4)2 · 10H2O
Uranophane-β,Ca(UO2)2(SiO3OH)2 · 5H2O
Uranophane,Ca(UO2)2(SiO3OH)2 · 5H2O
Uranopilite,(UO2)6(SO4)O2(OH)6 · 14H2O
Uranopolycrase,(U4+Y)(TiNb)2O6
Uranosilite,UO3 · 7SiO2
Uranospathite,(Al☐)(UO2)2(PO4)2F · 20(H2OF)
Uranosphaerite,Bi(UO2)O2(OH)
Uranospinite,Ca(UO2)(AsO4)2 · 10H2O
Uranothorianite,(ThU)O2
Uranotungstite,(Fe2+BaPb)(UO2)2(WO4)(OH)4 · 12H2O
Uranpyrochlore (of Hogarth 1977),(CaUCe)2(NbTiTa)2O6(OHF)
Urea,CO(NH2)2
Uricite,C5H4N4O3
Ursilite,Mg4(UO2)4(Si2O5)5.5(OH)5 · 13H2O
Urvantsevite,Pd(BiPb)2
Usovite,Ba2CaMgAl2F14
Ussingite,Na2AlSi3O8OH
Ustarasite,Pb(BiSb)6S10 (?)
Uvanite,U6+2V5+6O21 · 15H2O (?)
Uvarovite,Ca3Cr2(SiO4)3
Uvite Series,Ca(Mg3)MgAl5(Si6O18)(BO3)3(OH)3(F/OH)
Uytenbogaardtite,Ag3AuS2
Uzonite,As4S5
Ushkovite,MgFe3+2(PO4)2(OH)2 · 8H2O
Vaalite,(MgFe)7(SiAlFe)8O20(OH)4 · 2H2O
Vaesite,NiS2
Valencianite,KAlSi3O8
Valentinite,Sb2O3
Valleriite,(Fe2+Cu)4(MgAl)3S4(OHO)6
Valuevite,Ca(MgAl)3(Al3SiO10)(OH)2
Vanadinbronzite,MgSiO3
Vanadinite,Pb5(VO4)3Cl
Vanadio-laumontite,CaAl2Si4O12 · 4H2O
Vanadian Aegirine,Na(FeV)Si2O6
Vanalite,NaAl8V10O38 · 30H2O
Vandenbrandeite,Cu(UO2)(OH)4
Vandendriesscheite,PbU7O22 · 12H2O
Vanmeersscheite,U6+(UO2)3(PO4)2(OH)6 · 4H2O
Vanoxite,V4+4V5+2O13 · 8H2O
Vantasselite,Al4(PO4)3(OH)3 · 9H2O
Vanthoffite,Na6Mg(SO4)4
Vanuralite,Al(UO2)2(V2O8)(OH) · 11H2O
Vanuranylite,(H3O)2(UO2)2(VO4)2 · 4H2O
Vanuxemite,Na0.3Zn3((SiAl)4O10)(OH)2 · 4H2O
Varennesite,Na8Mn2Si10O25(OHCl)2 · 12H2O
Variscite,AlPO4 · 2H2O
Varlamoffite,(SnFe)(OOH)2
Varulite,NaCaMn2+Mn2+2(PO4)3
Vashegyite,Al11(PO4)9(OH)6 · 38H2O
Vasilite,(PdCu)16(STe)7
Vaterite,CaCO3
Vaughanite,TlHgSb4S7
Vauquelinite,Pb2Cu(CrO4)(PO4)(OH)
Vauxite,Fe2+Al2(PO4)2(OH)2 · 6H2O
Veatchite-A,Sr2B11O16(OH)5 · H2O
Veatchite,Sr2B11O16(OH)5 · H2O
Veenite,Pb2(SbAs)2S5
Velikite,Cu2HgSnS4
Verdelite,A(D3)G6(T6O18)(BO3)3X3Z
Vermiculite,Mg0.7(MgFeAl)6(SiAl)8O20(OH)4 · 8H2O
Vernadite,(Mn4+Fe3+CaNa)(OOH)2 · nH2O
Verplanckite,Ba2(MnFeTi)Si2O6(OOHClF)2 · 3H2O or near
Versiliaite,Fe2Fe4Sb6O16S
Vertumnite,Ca4Al4Si4O6(OH)24 · 3H2O
Vésigniéite,BaCu3(VO4)2(OH)2
Veszelyite,(CuZn)2Zn(PO4)2 · 2H2O
Vigezzite,(CaCe)(NbTaTi)2O6
Viitaniemiite,Na(CaMn2+)Al(PO4)(FOH)3
Vikingite,Ag5Pb8Bi13S30
Villamaninite,(CuNiCoFe)S2
Villiaumite,NaF
Villyaellenite,MnMn2Ca2(AsO4)2(HAsO4)2 · 4H2O
Vimsite,CaB2O2(OH)4
Vincentite,Pd3As
Vinciennite,Cu+7Cu2+3Fe2+2Fe3+2Sn(AsSb)S16
Vinogradovite,Na4Ti4(Si2O6)2[(SiAl)4O10]O4 · (H2ONaK)3
Violarite,Fe2+Ni3+2S4
Virgilite,LiAlSi2O6
Vishnevite,(NaK)8(Al6Si6O24)(SO4CO3) · 2H2O
Vismirnovite,Zn[Sn(OH)6]
Vistepite,SnMn4B2Si4O16(OH)2
Vitusite-(Ce),Na3(CeLaNd)(PO4)2
Vivianite,Fe2+3(PO4)2 · 8H2O
Vladimirite,Ca4(AsO4)2(AsO3OH) · 4H2O
Vlasovite,Na2ZrSi4O11
Vochtenite,(Fe2+Mg)Fe3+(UO2)4(PO4)4(OH) · 12-13H2O
Voggite,Na2Zr(PO4)(CO3)(OH) · 2H2O
Voglite,Ca2Cu(UO2)(CO3)4 · 6H2O
Volborthite,Cu3(V2O7)(OH)2 · 2H2O
Volkonskoite,Ca0.3(CrMgFe)2((SiAl)4O10)(OH)2 · 4H2O
Volkovskite,KCa4[B5O8OH]4[B(OH)3]2Cl · 4H2O
Voltaite,K2Fe2+5Fe3+3Al(SO4)12 · 18H2O
Voltzite,(ZnFe)S
Volynskite,AgBiTe2
Vonbezingite,Ca6Cu3(SO4)3(OH)12 · 2H2O
Vonsenite,Fe2+2Fe3+(BO3)O2
Vorobyevite,Be3Al2(Si6O18)
Vozhminite,(NiCo)4(AsSb)S2
Vrbaite,Hg3Tl4As8Sb2S20
Vuagnatite,CaAl(SiO4)(OH)
Vulcanite,CuTe
Vulpinite,CaSO4
Vunonnemite,Na5TiNb3Si6O25F2 · 2Na3PO4
Vuonnemite,Na11Ti4+Nb2(Si2O7)2(PO4)2O3(FOH)
Vuorelainenite,Mn2+V3+2O4
Vyacheslavite,U(PO4)(OH) · nH2O
Vyalsovite,FeCaAlS(OH)5
Väyrynenite,Mn2+Be(PO4)(OHF)
Vysotskite,(PdNi)S
Vyuntspakhkite-(Y),(YYb)4Al2.5-1.5(SiAl)1.5-2.5(SiO4)4O(OH)7
Vesuvianite,(CaNa☐)19(AlMgFe3+)13(☐BAlFe3+)5(Si2O7)4(SiO4)10(OHFO)10
Wadalite,(CaMg)6(AlFe3+)4((SiAl)O4)3O4Cl3
Wadeite,K2Zr(Si3O9)
Wadsleyite,(MgFe2+)2(SiO4)
Wagnerite,(MgFe2+)2(PO4)F
Wairakite,Ca(Al2Si4O12) · 2H2O
Wairauite,CoFe
Wakabayashilite,[(AsSb)6S9][As4S5]
Wakefieldite-(Ce),Ce(VO4)
Wakefieldite-(Y),Y(VO4)
Walentaite,H(CaMn2+Fe2+)Fe3+3(AsO4PO4)4 · 7H2O
Wallisite,(CuAg)TlPbAs2S5
Wallkilldellite,Ca2Mn2+3(AsO4)2(OH)4 · 9H2O
Walpurgite,(BiO)4(UO2)(AsO4)2 · 2H2O
Walstromite,BaCa2(Si3O9)
Walthierite,Ba0.5Al3(SO4)2(OH)6
Wapplerite,Mg(HAsO4) · 7H2O
Wardite,NaAl3(PO4)2(OH)4 · 2H2O
Wardsmithite,Ca5Mg[B4O7]6 · 30H2O
Warikahnite,Zn3(AsO4)2 · 2H2O
Warwickite,(MgTiFeCrAl)2O(BO3)
Watanabeite,Cu4(AsSb)2S5
Watkinsonite,Cu2PbBi4(SeSTe)8
Wattersite,(Hg+2)2Hg2+(CrO4)O2
Wattevilleite,Na2Ca(SO4)2 · 4H2O (?)
Wavellite,Al3(PO4)2(OHF)3 · 5H2O
Wawayandaite,Ca6Mn2BBe9Si6O23(OHCl)15
Waylandite,BiAl3(PO4)2(OH)6
Weberite,Na2Mg[AlF6]F
Weddellite,Ca(C2O4) · (2.5-x)H2O
Weeksite,K2(UO2)2(Si5O13) · 4H2O
Wegscheiderite,Na5H3(CO3)4
Weibullite,Pb5Bi8Se7S11
Weilerite,BaAl3(AsO4)(SO4)(OH)6
Weilite,Ca(HAsO4)
Weinebeneite,CaBe3(PO4)2(OH)2 · 4H2O
Weishanite,(AuAgHg)
Weissbergite,TlSbS2
Weissite,Cu2-xTe
Welinite,Mn2+6(W6+Mg)2(SiO4)2(OOH)6
Wellsite,(KBaCaK2)Al2Si6O16 · 6H2O
Weloganite,Na2Sr3Zr(CO3)6 · 3H2O
Welshite,Ca4Mg9Sb3O4[Si6Be3AlFe2O36]
Wendwilsonite,Ca2Mg(AsO4)2 · 2H2O
Wenkite,(BaK)4(CaNa)6[(SO4)3|(SiAl)20O39(OH)2] · 0.5H2O
Werdingite,(MgFe)2Al14Si4B4O37
Wermlandite,Mg7Al2(OH)18[Ca(H2O)6][SO4]2 · 6H2O
Westerveldite,(FeNiCo)As
Wheatleyite,Na2Cu(C2O4)2 · 2H2O
Wherryite,Pb7Cu2(SO4)4(SiO4)2(OH)2
Whewellite,Ca(C2O4) · H2O
Whiteite-(CaFeMg),{Ca}{(Fe2+Mn2+)}{Mg2}{Al2}(PO4)4(OH)2 · 8H2O
Whiteite-(CaMnMg),{Ca}{Mn2+}{Mg2}{Al2}(PO4)4(OH)2 · 8H2O
Whiteite-(MnFeMg),{(Mn2+Ca)}{(Fe2+Mn2+)}{Mg2}{Al2}(PO4)4(OH)2 · 8H2O
Whitlockite,Ca9Mg(PO4)6(HPO4)
Whitmoreite,Fe2+Fe3+2(PO4)2(OH)2 · 4H2O
Wickenburgite,CaPb3Al2Si10O24(OH)6
Wickmanite,Mn2+[Sn(OH)6]
Wicksite,NaCa2(Fe2+Mn2+)4MgFe3+(PO4)6 · 2H2O
Widenmannite,Pb2(OH)2[(UO2)(CO3)2]
Widgiemoolthalite,Ni5(CO3)4(OH)2 · 5H2O
Wightmanite,Mg5(BO3)O(OH)5 · 2H2O
Wilcoxite,MgAl(SO4)2F · 17H2O
Wilhelmvierlingite,CaMnFe3+(PO4)2(OH) · 2H2O
Wilkinsonite,Na2Fe2+4Fe3+2(Si6O18)O2
Wilkmanite,Ni3Se4
Willemite,Zn2SiO4
Willemseite,Ni3Si4O10(OH)2
Willhendersonite,KCa[Al3Si3O12] · 5H2O
Willyamite,(CoNi)SbS
Winchite,☐{CaNa}{Mg4Al}(Si8O22)(OH)2
Winstanleyite,TiTe4+3O8
Wiserite,(MnMg)14[Cl|(OH)8|(SiMg)(OOH)4|(B2O5)4]
Witherite,BaCO3
Wittichenite,Cu3BiS3
Wittite,Pb9Bi12(SSe)27
Wodginite,Mn2+Sn4+Ta2O8
Wöhlerite,NaCa2(ZrNb)(Si2O7)(OOHF)2
Wolfeite,(Fe2+Mn2+)2(PO4)(OH)
Wolframite,(Fe2+)WO4 to (Mn2+)WO4
Wollastonite-2M,CaSiO3
Wollastonite-7T,CaSiO3
Wölsendorfite,Pb7(UO2)14O19(OH)4 · 12H2O
Wonesite,(NaK)(MgFeAl)6((AlSi)4O10)2(OHF)4
Woodhouseite,CaAl3(PO4)(SO4)(OH)6
Woodruffite,Zn2+x/2(Mn4+1-xMn3+x)O2·yH2O
Wood Tin,SnO2
Woodwardite,Cu1-xAlx(OH)2(SO4)x/2 · nH2O
Wroewolfeite,Cu4(SO4)(OH)6 · 2H2O
Wüstite,FeO
Wülfingite,Zn(OH)2
Wurtzite,(ZnFe)S
Wyartite,CaU5+(UO2)2(CO3)O4(OH) · 7H2O
Wycheproofite,NaAlZr(PO4)2(OH) · H2O
Wyllieite,(NaCaMn)(MnFe)(FeMg)Al(PO4)3
Wulfenite,Pb(MoO4)
Wollastonite,CaSiO3
Xanthorthite,{A12+REE3+}{M3+2M32+}(Si2O7)(SiO4)O(OH)
Xanthite,(CaNa☐)19(AlMgFe3+)13(☐BAlFe3+)5(Si2O7)4(SiO4)10(OHFO)10
Xanthiosite,Ni3(AsO4)2
Xanthoarsenite,Mn2(AsSb)O4OH
Xanthochroitea,CdS
Xanthoconite,Ag3AsS3
Xenolite,Al10Si8O31
Xenotime-(Y),Y(PO4)
Xiangjiangite,(Fe3+Al)(UO2)4(PO4)2(SO4)2(OH) · 22H2O
Xifengite,Fe5Si3
Xilingolite,Pb3Bi2S6
Ximengite,Bi(PO4)
Xingshaoite,(ZnCo)2SiO4
Xingzhongite,(PbCuFe)(IrPtRh)2S4
Xitieshanite,Fe3+(SO4)Cl · 6H2O
Xocomecatlite,Cu3(TeO4)(OH)4
Xonotlite,Ca6(Si6O17)(OH)2
Xylotile,(MgFe)3Fe2Si7O20 · 10H2O
Xanthoxenite,Ca4Fe3+2(PO4)4(OH)2 · 3H2O
Yafsoanite,Ca3Zn3(TeO6)2
Yagiite,(NaK)3Mg4(AlMg)6(SiAl)24O60
Yakhontovite,(CaNa)0.5(CuFeMg)2(Si4O10)(OH)2 · 3H2O
Yanomamite,InAsO4 · 2H2O
Yaroslavite,Ca3Al2F10(OH)2 · H2O
Yarrowite,Cu9S8
Yavapaiite,KFe(SO4)2
Ye'elimite,Ca4Al6(SO4)O12
Yeatmanite,Zn6Mn2+9Sb5+2(SiO4)4O12
Yecoraite,Fe3+3Bi5(Te6+O4)2(Te4+O3)O9 · 9H2O
Yedlinite,Pb6Cr3+Cl6(OOHH2O)8
Yftisite-(Y),(YDyEr)4(TiSn)(SiO4)2O(FOH)6
Yimengite,K(CrTiFeMg)12O19
Yingjiangite,K2Ca(UO2)7(PO4)4(OH)6 · 6H2O
Yoderite,Mg(AlFe3+)3(SiO4)2O(OH)
Yofortierite,Mn5Si8O20(OH)2 · 8-9H2O
Yoshimuraite,Ba2Mn2Ti(Si2O7)(PO4)O(OH)
Yoshiokaite,(CaNa)[Al(AlSi)O4]
Yttrialite-(Y),(YTh)2Si2O7
Yttrobetafite (of Hogarth 1977),A2-mD2X6-wZ1-n
Yttrocolumbite-(Y),Y(U4+Fe2+)Nb2O8
Yttrocrasite-(Y),(YThCaU)(TiFe)2(OOH)6
Yttrofluorite,(Ca1-xYx)F2+x where 0.05< x <0.3
Yttropyrochlore (of Hogarth 1977),A2Nb2(OOH)6Z
Yttrotantalite-(Y),(YU4+Fe2+)(TaNb)(OOH)4
Yttrotungstite-(Y),YW2O6(OH)3
Yuanfuliite,Mg(Fe3+Al)O(BO3)
Yugawaralite,CaAl2Si6O16 · 4H2O
Yukonite,Ca3Fe3+(AsO4)2(OH)3 · 5H2O
Yuksporite,K4(CaNa)14(SrBa)2(⃞MnFe)(TiNb)4(OOH)4(Si6O17)2(Si2O7)3(H2OOH)3
Yushkinite,(MgAl)V4+S2(OH)2
Zabuyelite,Li2CO3
Zaherite,Al12(SO4)5(OH)26 · 20H2O
Zaïrite,BiFe3+3(PO4)2(OH)6
Zakharovite,Na4Mn5Si10O24(OH)6 · 6H2O
Zanazziite,Ca2Mg5Be4(PO4)6(OH)4 · 6H2O
Zapatalite,Cu3Al4(PO4)3(OH)9 · 4H2O
Zappinite,Rh2S3or possibly Rh6S7
Zaratite,Ni3(CO3)(OH)4 · 4H2O ?
Zavaritskite,(BiO)F
Zektzerite,LiNaZrSi6O15
Zellerite,Ca(UO2)(CO3)2 · 5H2O
Zemannite,Mg0.5ZnFe3+(Te4+O3)3 · 4.5H2O
Zemkorite,Na2Ca(CO3)2
Zenzénite,Pb3Fe4Mn3O15
Zeophyllite,Ca13Si10O28(OH)2F8 · 6H2O
Zeunerite,Cu(UO2)2(AsO4)2 · 12H2O
Zhanghengite,CuZn
Zharchikhite,AlF(OH)2
Zhemchuzhnikovite,NaMgAl(C2O4)3 · 8H2O
Zhonghuacerite-(Ce),Ba2Ce(CO3)3F
Ziesite,β-Cu2(V2O7)
Zimbabweite,(NaK)2PbAs4(TaNbTi)4O18
Zinalsite,(ZnAl)3((SiAl)2O5)(OH)4
Zinc,Zn
Zincmelanterite,(ZnCuFe)SO4 · 7H2O
Zincian Olivenite,(CuZn)2(AsO4)(OH)
Zinczippeite,Zn(UO2)2(SO4)O2 · 3.5H2O
Zincaluminite,Zn6Al6(SO4)2(OH)16 · 5H2O
Zincite,ZnO
Zincobotryogen,(ZnMgMn2+)Fe3+(SO4)2(OH) · 7H2O
Zincochromite,ZnCr2O4
Zincocopiapite,ZnFe3+4(SO4)6(OH)2 · 18H2O
Zincrosasite,(ZnCu)2(CO3)(OH)2
Zincroselite,Ca2Zn(AsO4)2 · 2H2O
Zincsilite,Zn3(Si4O10)(OH)2 · 4H2O
Zinkenite,Pb9Sb22S42
Zinkosite,ZnSO4
Zinnwaldite,KFe22+Al(Al2Si2O10)(OH)2
Zippeite,K3(UO2)4(SO4)2O3(OH) · 3H2O
Zircon,Zr(SiO4)
Zirconolite,CaZrTi2O7
Zircophyllite,K2NaFe2+7Zr2(Si4O12)2O2(OH)4F
Zircosulfate,(ZrTi)(SO4)2 · 4H2O
Zirkelite,(TiCaZr)O2-x
Zirklerite,(FeMgCa)9Al4Cl18(OH)12 · 14H2O (?)
Zirsinalite,Na6(CaMn2+Fe2+)Zr(Si6O18)
Znucalite,Zn12Ca(UO2)(CO3)3(OH)22 · 4H2O
Zodacite,Ca4Mn2+Fe3+4(PO4)6(OH)4 · 12H2O
Zoisite,{Ca2}{Al3}(Si2O7)(SiO4)O(OH)
Zorite,Na8(TiNb)5(Si6O17)2(OHO)5 · 14H2O
Zoubekite,AgPb4Sb4S10
Zunyite,Al13Si5O20(OHF)18Cl
Zussmanite,K(FeMgMn)13(SiAl)18O42(OH)14
Zvyagintsevite,Pd3Pb
Zwieselite,(Fe2+Mn2+)2(PO4)F
Zýkaite,Fe3+4(AsO4)3(SO4)(OH) · 15H2O
Zincovoltaite,K2Zn5Fe3+3Al(SO4)12 · 18H2O
Silver Glance,Ag2S
Glanzerz,Ag2S
Actynolin,☐{Ca2}{Mg4.5-2.5Fe0.5-2.5}(Si8O22)(OH)2
Adamine,Zn2(AsO4)(OH)
Adulaire,KAlSi3O8
Adular,KAlSi3O8
Ägirin,NaFe3+Si2O6
Priorite,(YLnCaTh)(TiNb)2(OOH)6
Blomstrandine,(YLnCaTh)(TiNb)2(OOH)6
Belonite (of Glocker),PbCuBiS3
Nadelerz,PbCuBiS3
Patrinite,PbCuBiS3
Aciculite (of Nicol),PbCuBiS3
Acicular Bismuth,PbCuBiS3
Acrochordite,(Mn2+Mg)5(AsO4)2(OH)4 · 4H2O
Braunsteinkies,MnS
Braunsteinblende,MnS
Manganblende,MnS
Manganglanz,MnS
Albâtre,CaSO4 · 2H2O
Hvit Viktril,ZnSO4 · 7H2O
Olafite,Na(AlSi3O8)
Hyposclerit,Na(AlSi3O8)
Pericline,Na(AlSi3O8)
Peristerite,Na(AlSi3O8)
Zygadite,Na(AlSi3O8)
Allaktit,Mn2+7(AsO4)2(OH)8
Cerine,{CaCe}{Fe3+AlFe2+}(Si2O7)(SiO4)O(OH)
Uralorthite,{A12+REE3+}{M3+2M32+}(Si2O7)(SiO4)O(OH)
Bucklandite (of Lévy),{A12+REE3+}{M3+2M32+}(Si2O7)(SiO4)O(OH)
Багратионит,{CaCe}{Al2Fe2+}(Si2O7)(SiO4)O(OH)
Arsenikantimon,AsSb
Arsenikspießglanz,AsSb
Ilbaite,(Al2O3)(SiO2)1.3-2 · 2.5-3H2O
Alluaudite (of Damour),(NaCa)Fe2+(Fe3+Mn2+Fe2+)2(PO4)3
Vitriolum Zinci album nativum,ZnSO4 · 7H2O
Alabandicus (of Pliny),Fe2+3Al2(SiO4)3
Bromlite,BaCa(CO3)2
Bicalcareocarbonate of Barytes,BaCa(CO3)2
Hallite (of Delamétherie),Al2(SO4)(OH)4 · 7H2O
Alumino-katophorite,{Na}{CaNa}{Fe2+4Al}[(AlSi7)O22](OH)2
Alaunstein (of Werner),KAl3(SO4)2(OH)6
Alaunspat,KAl3(SO4)2(OH)6
Aluminilite,KAl3(SO4)2(OH)6
Keramohalite (of Glocker),Al2(SO4)3 · 17H2O
Alunogenite,Al2(SO4)3 · 17H2O
Halotrichite (of Hausmann),Al2(SO4)3 · 17H2O
Davite,Al2(SO4)3 · 17H2O
Kobberkisel,Cu2-xAlx(H2-xSi2O5)(OH)4 · nH2O
Agstein,C10H16O + (H2S)
Analzim,Na(AlSi2O6) · H2O
Euthalith,Na(AlSi2O6) · H2O
Xanthitane,TiO2
Xanthotitane,TiO2
Gekrösstein,CaSO4
Basaltkainit,KMg(SO4)Cl
Nickel Bloom,Ni3(AsO4)2 · 8H2O
Nickel Ocher,Ni3(AsO4)2 · 8H2O
Ochra niccoli,Ni3(AsO4)2 · 8H2O
Rionite (of Brauns and Petersen),Cu6[Cu4(FeZn)2]Sb4S13
Anorthose,(NaK)AlSi3O8
Blätterserpentin,Mg3(Si2O5)(OH)4
Aftalosa,(KNa)3Na(SO4)2
Aftalosio,(KNa)3Na(SO4)2
Aftitalite,(KNa)3Na(SO4)2
Manganalaun,Mn2+Al2(SO4)4 · 22H2O
Akwamaryn,Be3Al2(Si6O18)
Arragonite,CaCO3
Chimborazite,CaCO3
Ktypéite,CaCO3
α-Argentite,Ag2S
Mispickel,FeAsS
Mistpuckel,FeAsS
Picroallumogene,MgAl2(SO4)4 · 22H2O
Halochalzit,Cu2(OH)3Cl
Buratite,(ZnCu)5(CO3)2(OH)6
Risséite,(ZnCu)5(CO3)2(OH)6
Messingite,(ZnCu)5(CO3)2(OH)6
Cuproauride,Cu3Au
Brickerite,CaZn(AsO4)(OH)
Lime-Uranite,Ca(UO2)2(PO4)2 · 11H2O
Calcium-Autunite,Ca(UO2)2(PO4)2 · 11H2O
Blue Malachite,Cu3(CO3)2(OH)2
Armenite (of Delamétherie),Cu3(CO3)2(OH)2
Kupferlasur,Cu3(CO3)2(OH)2
Lasur,Cu3(CO3)2(OH)2
Lazurit (of von Kobell),Cu3(CO3)2(OH)2
Chessylite,Cu3(CO3)2(OH)2
Babylonian Quartz,SiO2
Brazilite (of Hussak),ZrO2
Katayamalite,KLi3Ca7Ti2(SiO3)12(OH)2
Pandaite,A2Nb2(OOH)6Z
Barytes,BaSO4
Aehrenstein,BaSO4
Barite,BaSO4
Barytine,BaSO4
Heavy Spar,BaSO4
Bologna stone,BaSO4
Michel-lévyte,BaSO4
Litheophosphorus,BaSO4
Barytocelestite,SrSO4
Barytocoelestin,SrSO4
Soluble Anhydrite,CaSO4 · 0.5H2O
Kischtimite,Ce(CO3)F
Beckerelite,Ca(UO2)6O4(OH)6 · 8H2O
Beryll,Be3Al2(Si6O18)
Selenkupfer,Cu2Se
β-Lomonosovite,Na6☐4Ti4(Si2O7)2[PO3(OH)][PO2(OH)2]O2(OF)
Wismut,Bi
Bismutosphaerite,(BiO)2CO3
Dumreicherit,MgAl2(SO4)4 · 22H2O
Agnesite,(BiO)2CO3
Blakeite (of Dana),Fe2-xAlx(SO4)3 · 9H2O x ~0.5
Boehmite,AlO(OH)
Bolivianite,SiO2
Pseudocubic Quartz,SiO2
Borazit,Mg3(B7O13)Cl
Chrysocolla (of Agricola),Na2(B4O5)(OH)4 · 8H2O
Tincal,Na2(B4O5)(OH)4 · 8H2O
Borras,Na2(B4O5)(OH)4 · 8H2O
Baurak,Na2(B4O5)(OH)4 · 8H2O
Baurach,Na2(B4O5)(OH)4 · 8H2O
Erubescite,Cu5FeS4
Neoplase,MgFe3+(SO4)2(OH) · 7H2O
Palacheite,MgFe3+(SO4)2(OH) · 7H2O
Red Iron Vitriol,MgFe3+(SO4)2(OH) · 7H2O
Botryt,MgFe3+(SO4)2(OH) · 7H2O
Quetenite,MgFe3+(SO4)2(OH) · 7H2O
Embrithite,Pb5Sb4S11
Epiboulangerite,Pb5Sb4S11
Mullanite,Pb5Sb4S11
Yenerite,Pb5Sb4S11
Antimonkupferbleiblende,PbCuSbS3
Endellione,PbCuSbS3
Endellionite,PbCuSbS3
Cog Wheel Ore,PbCuSbS3
Wheel Ore,PbCuSbS3
Tripelglanz,PbCuSbS3
Antimonial Lead Ore,PbCuSbS3
Berthonite,PbCuSbS3
Sulrhodite,(RhIrPt)2S3
Hartbraunstein,Mn2+Mn3+6(SiO4)O8
Pesillite,Mn2+Mn3+6(SiO4)O8
Braunite-II,CaMn3+14(SiO4)O20
Antimonnickel (of Stromeyer),NiSb
Walmstedtite,MgCO3
Waringtonite,Cu4(SO4)(OH)6
Brogniartine (of Huot),Cu4(SO4)(OH)6
Krisuvigite,Cu4(SO4)(OH)6
Königine,Cu4(SO4)(OH)6
Jurinite,TiO2
Normal-ankerite,CaMg(CO3)2
Normal Parankerite,CaMg(CO3)2
Thor-uranin,UO2
Buetschliite,K2Ca(CO3)2
Cacoxeno,Fe3+24Al(PO4)17O6(OH)12 · 17H2O
Doppelspat,CaCO3
Kalkspath,CaCO3
Calc Spar,CaCO3
Iceland Spar,CaCO3
Icelandic Spar,CaCO3
Halbazurblei,Pb5Cu2(SO4)3(CO3)(OH)6
Halbasurblei,Pb5Cu2(SO4)3(CO3)(OH)6
Horn Mercury,(Hg2)2+Cl2
Francolite,Ca5(PO4)3F
Dahllite,Ca5(PO4)3(OH)
Ceriopyrochlore-(Ce) (of Hogarth 1977),A2Nb2(OOH)6Z
Cerotungstite,(CeNdY)W2O6(OH)3
Cerussa,PbCO3
Vitriolum cupri,CuSO4 · 5H2O
Copper vitriol,CuSO4 · 5H2O
Cyanose,CuSO4 · 5H2O
Chalcedon,SiO2
Chalkosin,Cu2S
Cuivre Sulfuré Spiciforme,Cu2S
Hydrocyanite,CuSO4
Idrociano,CuSO4
Hydrokyanite,CuSO4
Copper Mica,Cu18Al2(SO4)3(AsO4)3(OH)27 · 33H2O
Erinite (of Beudant),Cu18Al2(SO4)3(AsO4)3(OH)27 · 33H2O
Tamarite (of Brooke and Miller),Cu18Al2(SO4)3(AsO4)3(OH)27 · 33H2O
Blättriges Olivinerz,Cu18Al2(SO4)3(AsO4)3(OH)27 · 33H2O
Gelbkupfererz,CuFeS2
Chalkosiderit,CuFe3+6(PO4)4(OH)8 · 4H2O
Antimonial Copper,CuSbS2
Wolfsbergite (of Nicol),CuSbS2
Guejarite,CuSbS2
Rosite (of Huot),CuSbS2
Capillary Red Oxide of Copper,Cu2O
Cross-stone,Al2(SiO4)O
Paraluminite,2Al2O3·SO3·15H2O ?
Chloralluminio,AlCl3 · 6H2O
Chloralluminite,AlCl3 · 6H2O
Cerargyrite,AgCl
Kerat,AgCl
Argyroceratite,AgCl
Masonite,(Fe2+MgMn2+)Al2(SiO4)O(OH)2
Chloritspat,(Fe2+MgMn2+)Al2(SiO4)O(OH)2
Baeumlerite,KCaCl3
Cloromagnesite,MgCl2
Eisenchrom,Fe2+Cr3+2O4
Siderochrome,Fe2+Cr3+2O4
Chromoferrite,Fe2+Cr3+2O4
Halotrichit (of Hausmann),Al2(SO4)3 · 17H2O
Kieselkupfer,Cu2-xAlx(H2-xSi2O5)(OH)4 · nH2O
Pechkupfer (of Hausmann),Cu2-xAlx(H2-xSi2O5)(OH)4 · nH2O
α-Chrysotile,Mg3(Si2O5)(OH)4
Weinschenkite (of Laubmann),Y(PO4) · 2H2O
Rogersite (of Smith),Y(PO4) · 2H2O
Zinnober,HgS
Cinabrio,HgS
